Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-04-27 04:00:00+00:00,4741.39990234375,4741.5,4739.7998046875,4739.7998046875,0
2026-04-27 04:01:00+00:00,4742.0,4742.2998046875,4741.2998046875,4741.2998046875,32
2026-04-27 04:02:00+00:00,4740.2998046875,4741.89990234375,4740.0,4741.60009765625,24
2026-04-27 04:03:00+00:00,4740.5,4740.5,4738.89990234375,4740.10009765625,37
2026-04-27 04:04:00+00:00,4741.7998046875,4741.7998046875,4740.5,4740.89990234375,22
2026-04-27 04:05:00+00:00,4742.60009765625,4742.60009765625,4742.0,4742.0,18
2026-04-27 04:06:00+00:00,4742.5,4743.10009765625,4742.2001953125,4742.60009765625,11
2026-04-27 04:07:00+00:00,4743.10009765625,4743.10009765625,4742.2998046875,4742.39990234375,11
2026-04-27 04:08:00+00:00,4742.2001953125,4742.7998046875,4741.7998046875,4742.5,8
2026-04-27 04:09:00+00:00,4742.7998046875,4742.7998046875,4742.0,4742.0,4
2026-04-27 04:10:00+00:00,4743.0,4743.39990234375,4742.39990234375,4742.7998046875,23
2026-04-27 04:11:00+00:00,4742.2998046875,4743.0,4741.7998046875,4742.39990234375,27
2026-04-27 04:12:00+00:00,4741.39990234375,4742.2998046875,4741.39990234375,4742.2998046875,10
2026-04-27 04:13:00+00:00,4743.0,4743.0,4741.0,4741.39990234375,27
2026-04-27 04:14:00+00:00,4743.0,4743.2001953125,4742.60009765625,4742.89990234375,13
2026-04-27 04:15:00+00:00,4743.2998046875,4743.7001953125,4743.0,4743.2998046875,15
2026-04-27 04:16:00+00:00,4742.60009765625,4743.5,4742.5,4743.0,11
2026-04-27 04:17:00+00:00,4741.5,4742.7998046875,4741.5,4742.7001953125,22
2026-04-27 04:18:00+00:00,4741.10009765625,4741.60009765625,4740.60009765625,4741.60009765625,32
2026-04-27 04:19:00+00:00,4742.10009765625,4742.10009765625,4741.2001953125,4741.2001953125,13
2026-04-27 04:20:00+00:00,4742.5,4743.0,4742.39990234375,4742.39990234375,15
2026-04-27 04:21:00+00:00,4742.39990234375,4743.2001953125,4742.39990234375,4742.7001953125,15
2026-04-27 04:22:00+00:00,4742.60009765625,4742.60009765625,4741.89990234375,4742.60009765625,26
2026-04-27 04:23:00+00:00,4742.60009765625,4743.0,4742.60009765625,4742.7998046875,10
2026-04-27 04:24:00+00:00,4742.2001953125,4742.2001953125,4741.89990234375,4742.0,10
2026-04-27 04:25:00+00:00,4741.5,4742.2001953125,4741.2998046875,4742.2001953125,12
2026-04-27 04:26:00+00:00,4741.7001953125,4741.89990234375,4741.0,4741.5,13
2026-04-27 04:27:00+00:00,4741.10009765625,4741.10009765625,4740.7001953125,4740.7998046875,18
2026-04-27 04:28:00+00:00,4742.0,4742.0,4740.89990234375,4740.89990234375,7
2026-04-27 04:29:00+00:00,4742.5,4742.7001953125,4742.0,4742.0,23
2026-04-27 04:30:00+00:00,4743.7998046875,4744.2998046875,4742.7001953125,4742.7998046875,48
2026-04-27 04:31:00+00:00,4744.2001953125,4744.39990234375,4743.39990234375,4744.10009765625,28
2026-04-27 04:32:00+00:00,4742.60009765625,4743.89990234375,4742.60009765625,4743.7998046875,29
2026-04-27 04:33:00+00:00,4744.7001953125,4745.7998046875,4743.0,4743.0,138
2026-04-27 04:34:00+00:00,4742.7998046875,4745.60009765625,4742.7998046875,4744.7998046875,67
2026-04-27 04:35:00+00:00,4742.10009765625,4742.7998046875,4741.10009765625,4742.7998046875,41
2026-04-27 04:36:00+00:00,4742.89990234375,4743.0,4742.10009765625,4742.10009765625,13
2026-04-27 04:37:00+00:00,4742.7998046875,4743.2001953125,4741.89990234375,4743.10009765625,33
2026-04-27 04:38:00+00:00,4743.2001953125,4743.2001953125,4741.10009765625,4742.60009765625,46
2026-04-27 04:39:00+00:00,4743.39990234375,4744.0,4743.39990234375,4744.0,16
2026-04-27 04:40:00+00:00,4743.0,4744.0,4742.2998046875,4744.0,12
2026-04-27 04:41:00+00:00,4743.7998046875,4743.7998046875,4743.2001953125,4743.2998046875,6
2026-04-27 04:42:00+00:00,4743.60009765625,4744.0,4743.10009765625,4743.10009765625,12
